PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_1,the_prestige_6m.mp4,6,-0.08661361536283763,0.038144717848024,-1.5224009427629699,0.128,28
Mean_PCA_2,12 years_6m.mp4,2,-0.2405252441440413,-0.2146294993657375,-0.11840799742112522,0.7780000000000001,3
Mean_PCA_2,12 years_6m.mp4,3,0.2557256308606769,0.107377340595387,1.5246356892029385,0.11799999999999988,21
Mean_PCA_2,12 years_6m.mp4,4,-0.0791932158603237,0.3585559084835094,-1.4543624970811653,0.0,1
Mean_PCA_2,12 years_6m.mp4,5,-0.0178617489280335,0.03151418734317476,-1.118111729938659,0.0,1
Mean_PCA_2,12 years_6m.mp4,6,-0.026967740083201013,0.16122403036797658,-1.4304444803372687,0.17800000000000002,15
Mean_PCA_2,12 years_6m.mp4,7,-0.06799460288484087,0.21941739434394117,-1.5682264247529423,0.11200000000000002,6
Mean_PCA_2,back to the future_6m.mp4,2,-0.08960307260517024,0.06215824173013594,-1.190822037652835,0.264,10
Mean_PCA_2,back to the future_6m.mp4,3,-0.07107583803716475,0.2119687564005947,-1.8483000151976805,0.08200000000000002,15
Mean_PCA_2,back to the future_6m.mp4,4,-0.08480417962488238,0.1724074486949774,-2.593838996011484,0.006000000000000001,28
Mean_PCA_2,back to the future_6m.mp4,6,-0.1849231579500903,0.42194774771649723,-1.1563162690220117,0.0,1
Mean_PCA_2,back to the future_6m.mp4,7,-1.0,0.7365576874626938,-10.827879193774733,0.0,1
Mean_PCA_2,Movie Task-c4,4,0.0044549456520498,0.17433812180606584,-1.2543495623965548,0.0,1
Mean_PCA_2,Movie Task-c4,5,-0.1187762632730333,0.16369793128871593,-3.3661783572408583,0.0,6
Mean_PCA_2,Movie Task-c4,6,-0.05583449543050123,0.08515224408456004,-1.063642561848713,0.3,15
Mean_PCA_2,Movie Task-c4,7,-0.3333333333333333,0.10662043422985647,-1.4101042352747153,0.12200000000000001,3
Mean_PCA_2,Movie Task-c4,9,-0.04194203312724728,0.004540746997747384,-0.6167855552559308,0.548,36
Mean_PCA_2,Movie Task-c4,10,-0.05121313815714548,-0.028781849709916672,-0.2855614679601647,0.7660000000000001,45
Mean_PCA_2,Movie Task-c4,11,-1.0,-0.7731962464483952,-0.9285458485845756,0.538,1
Mean_PCA_2,Movie Task-lms,2,-0.11377713719359646,0.2932288157973729,-3.0494695773957115,0.0,15
Mean_PCA_2,Movie Task-lms,3,0.6562309108143588,0.5702178536437896,0.47698648966852086,0.958,3
Mean_PCA_2,Movie Task-lms,4,0.5076545416505285,0.8484438932259324,-2.0879299711683776,0.0,1
Mean_PCA_2,Movie Task-lms,5,-0.5585045620812692,0.44535538691596316,-1.94919359466121,0.0,1
Mean_PCA_2,Movie Task-lms,6,-0.0033403977820993,0.00684521088195976,-0.27628716536058867,0.926,1
Mean_PCA_2,Movie Task-lms,7,0.9772606303956991,-0.25894395894155475,5.411415235228317,0.0,6
Mean_PCA_2,Movie Task-lms,8,-0.173789018040302,-0.38436447464732376,1.0605828227003709,0.28600000000000003,6
Mean_PCA_2,Movie Task-lms,10,-0.03287575991466333,0.225688692108462,-1.6306295969854465,0.0,3
Mean_PCA_2,Movie Task-lms,11,-0.07971663929969137,0.027877074209380466,-1.2400944288624127,0.22,15
Mean_PCA_2,Movie Task-lms,12,0.1814933589066331,0.2606724105481818,-0.27111014810758605,0.7140000000000001,3
Mean_PCA_2,Movie Task-lms,13,-0.3333333333333333,0.7101815285776545,-3.8390856476172353,0.0,3
Mean_PCA_2,Movie Task-summer,1,-0.2,0.048123593541562946,-1.7788198474345034,0.09600000000000002,10
Mean_PCA_2,Movie Task-summer,2,0.0014867685233234,0.48468595292809996,-1.0778671125870918,0.0,1
Mean_PCA_2,Movie Task-summer,3,-0.28555467458025596,0.15160452289669382,-1.6851560180943748,0.0,3
Mean_PCA_2,Movie Task-summer,4,-0.16226298095176359,0.23808090081183694,-1.254048089747415,0.23,3
Mean_PCA_2,Movie Task-summer,5,0.6252365336894806,0.12306654409679565,2.4202018954231344,0.007999999999999785,6
Mean_PCA_2,Movie Task-summer,6,0.0238018321521687,0.008974126655420066,0.3023312985647129,0.926,1
Mean_PCA_2,Movie Task-summer,7,0.050786440122880805,0.05012306167535823,0.019713038373243705,0.944,6
Mean_PCA_2,Movie Task-summer,8,0.05806994720171392,-0.00754558469298342,1.1975067273527695,0.22199999999999998,66
Mean_PCA_2,Movie Task-summer,11,-1.0,-0.6651781053178445,-0.9285458485845758,0.538,1
Mean_PCA_2,pulp_fiction_6m.mp4,1,0.2430584343157513,0.17837868557949194,2330333538456280.0,0.0,1
