idno,VideoName,Focus_response,Self_response,Other_response,Knowledge_response,Absorption_response,Words_response,Past_response,Deliberate_response,Sounds_response,Future_response,Problem_response,Distracting_response,Images_response,Emotion_response,Intrusive_response,Detailed_response,ProbeVersion,ProbeNumber,Run_time,correct_per_run,correct_overall,watched_before
subject_204,pulp_fiction_6m.mp4,2.8,3.1,5.2,1.5,1.8,3,2.6,1.9,2,2.3,1.7,1.7,2,5,2.6,2.5,1,2,200,3,16,2
subject_204,pulp_fiction_6m.mp4,3,3.5,3,2,2.9,2.4,3,2.5,2.8,3.7,5,1.5,2.9,5.8,2.7,2.8,1,3,290,3,16,2
subject_205,pulp_fiction_6m.mp4,6.5,5.6,4,4.9,6.2,1.3,3.9,2.4,1.6,9,3,4.6,3.9,6.5,4.4,9,4,1,140,3,16,2
subject_205,pulp_fiction_6m.mp4,8.1,1,7,3.8,6.6,1,1,5.4,7.6,9,1,1,7,3,3.5,9.2,4,2,220,3,16,2
subject_205,pulp_fiction_6m.mp4,6.3,1,7.4,2.2,7.5,1,2.8,1,1.6,3.3,1,1,2.1,4.2,1,1,4,3,310,3,16,2
subject_205,shawshank clip_6m.mp4,1,1,7.3,5.5,7.6,10,7.2,5.3,1,1,1,1,1.4,5.3,1,6.8,5,1,130,4,16,2
subject_205,shawshank clip_6m.mp4,5.3,1,5.1,5.3,1,3.6,3,3.6,1,7,1,1,1,5.4,1,5.2,5,2,190,4,16,2
subject_205,shawshank clip_6m.mp4,1,1,5,5.3,6.5,6.4,1,4,1,6.1,1,3.7,3.8,5.2,1,6.6,5,3,300,4,16,2
subject_205,back to the future_6m.mp4,1,1,1,10,6,6.3,5,6.4,1,1,1,5.9,4,8.2,1,4,1,1,60,4,16,1
subject_205,back to the future_6m.mp4,1,1,8.1,3.7,5.2,1,1.1,1,1,7.3,1,1.6,1,5.3,1,6.2,1,2,200,4,16,1
subject_205,back to the future_6m.mp4,1,4.3,3.9,1,7.2,1,1,1,1,1,1,7,1,5.2,1,1,1,3,290,4,16,1
subject_205,12 years_6m.mp4,1,1,1,4.5,3.5,6.1,7.4,2.4,1,5.8,1,4.6,1,1,1,4,8,1,110,3,16,2
subject_205,12 years_6m.mp4,1,1,6.8,4.5,4,1,3.7,3.5,1,4.6,1,1.4,6.6,1,1,2.8,8,2,180,3,16,2
subject_205,12 years_6m.mp4,1,1,4.2,5,7.5,3.6,5,4.8,3.5,1,1,6.8,2.1,1,1,1,8,3,260,3,16,2
subject_205,the_prestige_6m.mp4,1,1,5.9,1,3.8,2.4,4.7,3.7,1,7.4,1,1,5.1,1.6,1,2.9,0,1,80,2,16,2
subject_205,the_prestige_6m.mp4,1,1,4,1,4.1,1,1,1,1,8,1,1,1,1,1,2.9,0,2,150,2,16,2
subject_205,the_prestige_6m.mp4,8.1,7,1,1,7,1,1.6,1,1,8.5,1,8,4.1,5,1,6.4,0,3,270,2,16,2
subject_206,the_prestige_6m.mp4,1.8,1,7.1,4.2,5.5,7.9,8.4,1.9,10,1,1.6,1.9,9,3.3,7.8,8.3,1,1,60,3,17,1
subject_206,the_prestige_6m.mp4,2.1,1,1,1,8.8,7.3,1,1,7.9,1,7.8,5.8,10,1,10,9,1,2,200,3,17,1
subject_206,the_prestige_6m.mp4,2.6,5.4,7.3,10,6.3,8,10,8.4,7,1,1,6,6.3,3,8,6.7,1,3,290,3,17,1
subject_206,shawshank clip_6m.mp4,3.2,1,7.6,1,8,6.5,1,1,7,1,1.2,3.7,6.7,2.8,7.6,6.1,3,1,100,3,17,2
subject_206,shawshank clip_6m.mp4,1.5,1,9,1,9.6,7.8,1,7.6,5.7,1,8.9,1,9,7.1,1,10,3,2,230,3,17,2
subject_206,shawshank clip_6m.mp4,4.2,1,8,1.6,5,6.6,1,7.8,8,1,1,6,7.9,6,4.5,8.1,3,3,320,3,17,2
subject_206,back to the future_6m.mp4,5.7,1,7.8,1,5.1,6.5,1,1.6,4.5,6.5,1,5.4,8,8.1,8.2,1.5,6,1,90,4,17,1
subject_206,back to the future_6m.mp4,1.8,3,7.9,6.7,7.7,8,7.4,8,8.3,1,1,1,8.1,8,8,7.9,6,2,160,4,17,1
subject_206,back to the future_6m.mp4,1,3.1,7.7,2.7,7.9,6.4,1,6.8,7,1,1,2.6,9,7.4,5,8,6,3,240,4,17,1
subject_206,12 years_6m.mp4,1,1,8.2,1,6.8,7.1,3.3,1.9,6.5,1,6.5,6.5,10,2.6,8.4,3,4,1,140,3,17,2
subject_206,12 years_6m.mp4,2.2,1,10,8.1,9,9,8,1,9,1,5.3,9,9.7,1,10,9.4,4,2,220,3,17,2
subject_206,12 years_6m.mp4,1,1,10,1,9.1,8.6,8.3,1,9,1,1,5.2,9,1,9.4,9.5,4,3,310,3,17,2
subject_206,pulp_fiction_6m.mp4,1.9,8.6,8,7.5,7.5,8,10,2.6,7.9,1,1.3,1,10,5.4,1,2.1,2,1,70,4,17,1
subject_206,pulp_fiction_6m.mp4,2,7.6,8.7,8.2,10,8.5,10,1,9.2,1,2.2,3.2,9,8.2,5.3,8,2,2,170,4,17,1
subject_206,pulp_fiction_6m.mp4,2.3,8.7,9,8.4,7.7,8.6,9.2,3,8.5,7.4,3.1,7.7,8.5,8,7.7,7.6,2,3,250,4,17,1
subject_208,pulp_fiction_6m.mp4,1.5,1.8,6,3,7.9,6.5,3.4,7.3,2.2,7.3,4.4,2.6,7.6,5.7,4.8,7,5,1,130,4,14,2
subject_208,pulp_fiction_6m.mp4,8.8,1.4,7.1,8.1,6.5,4.4,7.6,7.2,3,6.8,8.5,2.2,6.5,2.1,2.2,8,5,2,190,4,14,2
