Time(s),BoundaryDensity
115.05,0.00013947839291069647
116.05,0.0001718847481432181
117.05,0.00018631756686925203
118.05,0.00018460709469310643
119.05,0.00017806926811281558
120.05,0.00017767936082790548
121.05,0.00018402792283233542
122.05,0.00018681489053300944
123.05,0.0001744624214799763
124.05,0.00014468437838589357
125.05,0.00010688557430562137
126.05,7.603975661831253e-05
127.05,6.471104231189373e-05
128.05,7.858244970936686e-05
129.05,0.00011572081190447182
130.05,0.0001681512540919864
131.05,0.00022583360087049105
132.05,0.0002824229829817151
133.05,0.0003389534586668563
134.05,0.00040167408964282195
135.05,0.0004757647544574343
136.05,0.0005613012322454316
137.05,0.0006555044051120415
138.05,0.0007580178050262218
139.05,0.0008712719645345816
140.05,0.0009919245520173276
141.05,0.001100367986047036
142.05,0.0011621795370238344
143.05,0.0011469350293541753
144.05,0.0010513005277001301
145.05,0.0009058233382627203
146.05,0.0007600827638080298
147.05,0.0006628551676730051
148.05,0.00065633870725496
149.05,0.0007829398284063604
150.05,0.0010845203799767595
151.05,0.0015806139358819807
152.05,0.002238542076696565
153.05,0.0029660806065368536
154.05,0.0036441293895625388
155.05,0.004180529043854243
156.05,0.004541010787230814
157.05,0.004729687329868961
158.05,0.0047413200752068115
159.05,0.00454062579493567
160.05,0.004096851047927577
161.05,0.003438253338344252
162.05,0.0026656561884196408
163.05,0.0019088823784599656
164.05,0.0012683865177563465
165.05,0.0007890424075143449
166.05,0.0004713379539448052
167.05,0.0002941220161492478
168.05,0.00022795286302775586
169.05,0.00023761073903533366
170.05,0.0002826090307250581
171.05,0.0003229705214516178
172.05,0.00033060679587574703
173.05,0.000299692731081
174.05,0.0002478229059551679
175.05,0.00020584604389749394
176.05,0.00020290950531159195
177.05,0.00025716170490462724
178.05,0.00038009132393398526
179.05,0.0005942513106758934
180.05,0.0009492282806752077
181.05,0.0015078318426403848
182.05,0.0022879606371347563
183.05,0.003194453122899949
184.05,0.004014373139713534
185.05,0.004513252849682748
186.05,0.004571124587246586
187.05,0.004243965685626031
188.05,0.003702255642802421
189.05,0.0031135630745978424
190.05,0.00257134019612374
191.05,0.002103471030526785
192.05,0.0017153782296477483
193.05,0.0014132503399326773
194.05,0.0011973239360817812
195.05,0.001050544042127359
196.05,0.0009446074610235728
197.05,0.0008609939488305317
198.05,0.0008078894406180814
199.05,0.0008163660140689561
200.05,0.0009148029423129537
201.05,0.0010981549339516333
202.05,0.00131747719012618
203.05,0.0015040402471445178
204.05,0.0016120923272036742
205.05,0.001642566169816808
206.05,0.001627691313676456
207.05,0.0015989240222254167
208.05,0.0015756198515822508
209.05,0.0015798524081839958
210.05,0.0016457588330732354
211.05,0.0017974286024163766
212.05,0.0020114701161441416
213.05,0.0022082947827748917
214.05,0.002293623939982312
215.05,0.002220940100598833
216.05,0.0020245861709779645
217.05,0.0018047076308129915
218.05,0.0016878505584630357
219.05,0.0017915283457454912
220.05,0.002192940558079224
221.05,0.0028883258123817324
222.05,0.0037555836848136436
223.05,0.004565935297937328
224.05,0.005072450228322904
225.05,0.005131664941573773
226.05,0.004768526525672963
227.05,0.004139021049031792
228.05,0.003432266081940603
229.05,0.0027889235511318914
230.05,0.002277582578007224
231.05,0.001920193047779821
232.05,0.0017292564253137068
233.05,0.0017173585979350606
234.05,0.0018676601222562387
235.05,0.002100290236614762
236.05,0.0022861721269184223
237.05,0.002314546639594275
238.05,0.0021573983787097754
239.05,0.0018709988094591417
240.05,0.0015393464218601536
241.05,0.0012188238121223815
242.05,0.0009280743607213252
243.05,0.0006722095595570673
244.05,0.0004633736833521361
245.05,0.00031850472720984567
246.05,0.00024462869708875634
247.05,0.00023025446538133717
248.05,0.00024995545488434596
249.05,0.00027625438743617676
250.05,0.00028964085845124956
251.05,0.0002827180923456194
252.05,0.0002602277571234742
253.05,0.00023676422586952934
254.05,0.00023056807382815705
255.05,0.00025264459325618425
256.05,0.0002971777228244876
257.05,0.0003433156356766184
258.05,0.00037191438001884304
259.05,0.00038722916168277963
260.05,0.00042533579978513693
261.05,0.0005370938981024342
262.05,0.0007509488337576689
263.05,0.0010390280907551289
264.05,0.001315593476661607
265.05,0.00147894989500336
266.05,0.0014724982828718811
267.05,0.0013203450874169295
268.05,0.0011153758721705264
269.05,0.0009814585632274735
270.05,0.001044162658778173
271.05,0.0014122684833318428
272.05,0.002141210331047198
273.05,0.0031678736853551527
274.05,0.004263998017022025
275.05,0.005084500746244834
276.05,0.005327583808896219
277.05,0.004910207171935178
278.05,0.004018828643622872
279.05,0.0029915630858135117
280.05,0.002131794163773555
281.05,0.0015920699440914268
282.05,0.0013769063466395738
283.05,0.0014100575711295314
284.05,0.0015931367987476188
285.05,0.0018313714296316497
286.05,0.002045462820453101
287.05,0.0021868478363479046
288.05,0.0022462874461205854
289.05,0.0022370003516931393
290.05,0.002161286518018014
291.05,0.0019980510546014256
292.05,0.0017309577750383072
293.05,0.0013873530958606452
294.05,0.0010422659593620333
295.05,0.000782615474559476
296.05,0.0006691113045805692
297.05,0.0007250067227769728
298.05,0.000942670881434986
299.05,0.001285269656626494
300.05,0.0016830494194204734
301.05,0.0020434894343359304
302.05,0.002281866850306531
303.05,0.002351716686833009
304.05,0.002252073488298661
305.05,0.002013772695206553
306.05,0.0016848246481920219
307.05,0.0013243279295105724
308.05,0.0009966931301285933
309.05,0.0007577307653274169
310.05,0.0006362821635926663
311.05,0.0006227139847756642
312.05,0.0006737947255639824
313.05,0.0007343400024017294
314.05,0.0007632927520206642
315.05,0.0007464398782932815
316.05,0.0006892643952682764
317.05,0.0006018810601876898
318.05,0.0004923650150120107
319.05,0.0003708634455656776
320.05,0.0002537131341959843
321.05,0.0001597380679314083
322.05,0.00010230422155834502
323.05,8.449617716410978e-05
324.05,9.920847814986131e-05
325.05,0.0001316530435175775
326.05,0.00016371592545546054
327.05,0.00018156932807987346
328.05,0.00018454039981257678
329.05,0.00018882462540064146
330.05,0.00022179781746511012
331.05,0.0003110245116777182
332.05,0.00047804358550904076
333.05,0.0007428423378800796
334.05,0.0011311061591674659
335.05,0.0016654187041051033
336.05,0.002332247276827563
337.05,0.003049330865329198
338.05,0.003677583506029051
339.05,0.004089272730696744
340.05,0.004240713222786774
341.05,0.004179635907694623
342.05,0.003980813793372099
343.05,0.003679870795694301
344.05,0.0032712629395608094
345.05,0.002759565788877714
346.05,0.0021992134992991344
347.05,0.001681625862110178
348.05,0.0012871614109753555
349.05,0.0010460566850242325
350.05,0.0009343232262448498
351.05,0.0008984090342868994
352.05,0.0008857142443174712
353.05,0.0008636425384304024
354.05,0.0008255914116235422
355.05,0.0007910119515917842
356.05,0.000802696440107651
357.05,0.000917281895021538
358.05,0.0011860340064227435
359.05,0.0016314790883247994
360.05,0.002229563964864736
361.05,0.00290137683473835
362.05,0.0035160134362088027
363.05,0.003916530068204475
364.05,0.003980827730739661
365.05,0.003693484326686454
366.05,0.003167794497297281
367.05,0.002583603363336862
